"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
41	2870	"chameleon goby"	58	"CAMLGOBY"	92	"CAMLGOBY"	"CG"	1	"Chameleon Goby"	"NA"	"NA"	"NA"	"Gobiidae"	"Tridentiger"	"trigonocephalus"
42	7104	"channel catfish"	9	"CHANLCAT"	4	"CHANLCAT"		1	"Channel Catfish"	"NA"	"NA"	"NA"	"Ictaluridae"	"Ictalurus"	"punctatus"
43	2881	"cheekspot goby"	70	"CHEKGOBY"	75	"CHKSGOBY"	"CSG"	1	"Cheekspot Goby"	"NA"	"NA"	"NA"	"Gobiidae"	"Ilypnus"	"gilberti"
44	1105	"Chinook salmon"	15	"CHINSALM"	9	"CHINSALM"	"CS"	1	"Chinook Salmon"	"NA"	"NA"	"NA"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"
45	2762	"clinid (Unid)"						1							
46	3122	"C-O sole"						1							
47	1103	"coho salmon"	146					1	"Coho Salmon"	"NA"	"NA"	"NA"	"NA"	"Oncorhynchus"	"kisutch"
48	7064	"common carp"	26	"CARP"	3	"CARP"	"CP"	1	"Carp"	"NA"	"NA"	"NA"	"Cyprinidae"	"Cyprinus"	"carpio"
49	5126	"Crangon spp."	110		22	"CRGSHRMP"		1	"Crangon"	"NA"	"NA"	"NA"	"Caridae"	"Crangon"	"spp."
50	3123	"curlfin sole"						1							
51	1208	"delta smelt"	3	"DLTASMLT"	24	"DLTASMLT"	"1"	1	"Delta Smelt"	"NA"	"NA"	"NA"	"Osmeridae"	"Hypomesus"	"transpacificus"
52	3106	"diamond turbot"	108		82	"DIATURBT"		1	"Diamond Turbot"	"NA"	"NA"	"NA"	"Pleuronectidae"	"Hypsopsetta"	"guttulata"
53	3110	"Dover sole"						1							
54	2114	"dwarf perch"	125		50	"DWFPERCH"		1	"Dwarf Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Micrometrus"	"minimus"
55	3120	"English sole"	120		83	"ENGLSOLE"		1	"English Sole"	"NA"	"NA"	"NA"	"Pleuronectidae"	"Pleuronectes"	"vetulus"
56	1207	"eulachon"						1							
57	5101	"Exopalaemon modestus"	156		103			1	"Siberian prawn"	"NA"	"NA"	"NA"	"Palaemonidae"	"Exopalaemon"	"modestus"
58	7062	"fathead minnow"	147					1	"Fathead minnow"	"NA"	"NA"	"NA"	"NA"	"Pimephales"	"promelas"
59	4998	"fish unknown"	99	"UNKNOWN"			"17"	1	"Unknown"	"NA"	"NA"	"NA"	"Unknown"	"Unknown"	"Unknown"
60		"flatfish (Unid)"	121		84	"FLATFISH"		1	"Flatfish (Unid)"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
61	3127	"flounder (Unid) (right-eyed)"						1							
62	2409	"fluffy sculpin"						1							
63		"freshwater eel (American eel?)"	153					1	"Freshwater Eel"	"NA"	"NA"	"NA"	"NA"	"Anguilla"	"NA"
64	2869	"goby (Unid)"	11	"GOBYFAML"			"GOB"	1	"Gobies (Unid)"	"NA"	"NA"	"NA"	"Gobiidae"	"NA"	"NA"
65	2884	"goby II (arrow, cheekspot, yellowfin)"						1							
66	7060	"golden shiner"	25	"GOLDSHNR"	65	"GOLDSHNR"	"GSH"	1	"Golden Shiner"	"NA"	"NA"	"NA"	"Cyprinidae"	"Notemigonus"	"chrysoluecas"
67	7063	"goldfish"	27	"GOLDFISH"	64	"GOLDFISH"	"GF"	1	"Goldfish"	"NA"	"NA"	"NA"	"Cyprinidae"	"Carrassius"	"auratus"
68	1501	"green sturgeon"	23	"GRNSTURG"	36	"GRNSTURG"	"GST"	1	"Green Sturgeon"	"NA"	"NA"	"NA"	"Acipenseridae"	"Acipenser"	"medirostrus"
69	7146	"green sunfish"	37	"GRNSUNF"	53	"GRNSNFSH"	"37"	1	"Green Sunfish"	"NA"	"NA"	"NA"	"Centrarchidae"	"Lepomis"	"cyanellus"
70	135	"grey smoothhound"	126		67	"GRYSMHND"		1	"Grey Smoothhound"	"NA"	"NA"	"NA"	"Carcharhinidae"	"Mustelus"	"californica"
71	7058	"hardhead"	29	"HARDHEAD"			"HH"	1	"Hardhead"	"NA"	"NA"	"NA"	"Cyprinidae"	"Mylopharodon"	"conocephalus"
72	1000	"herring (shads) (Unid)"	4	"SHADFMLY"			"CLU"	1	"Herring (Unid)"	"NA"	"NA"	"NA"	"Clupeidae"	"NA"	"NA"
73	7051	"hitch"	57	"HITCH"	61	"HITCH"	"HIT"	1	"Hitch"	"NA"	"NA"	"NA"	"Cyprinidae"	"Lavinia"	"exilicauda"
74	3125	"hornyhead turbot"						1							
75	3112	"hybrid sole (forkline)"						1							
76	2607	"jack mackerel"						1							
77	2692	"jacksmelt"	34	"JACKSMLT"	8	"JACKSMLT"	"JS"	1	"Jacksmelt"	"NA"	"NA"	"NA"	"Atherinopsidae"	"Atherinopsis"	"californiensis"
78		"jellyfish (Unid)"	188		98			1	"jelly (UNID)"						
79	2661	"kelp greenling"						1							
80	20	"lamprey (Unid)"	60	"LAMPREYF"			"PET"	1	"Lampreys (Unid)"	"NA"	"NA"	"NA"	"Petromyzontidae"	"NA"	"NA"
81	7150	"largemouth bass"	39	"LRGMBASS"	55	"LMTHBASS"	"LMB"	1	"Largemouth Bass"	"NA"	"NA"	"NA"	"Centrarchidae"	"Micropterus"	"salmoides"
82	140	"leopard shark"	105		58	"LEOPSHRK"		1	"Leopard Shark"	"NA"	"NA"	"NA"	"Triakidae"	"Triakis"	"semifasciata"
83	2664	"lingcod"	127		86	"LINGCOD"		1	"Lingcod"	"NA"	"NA"	"NA"	"Hexagrammidae"	"Ophiodon"	"elongatus"
84	1204	"longfin smelt"	2	"LGFNSMLT"	25	"LNGFSMLT"		1	"Longfin Smelt"	"NA"	"NA"	"NA"	"Osmeridae"	"Spirinchus"	"thaleichtys"
